class,job,duration (s)
default_data,trick_mc.mc.process_sim_args,1e-06
default_data,trick_cpr.cpr.find_write_checkpoint_jobs,6e-06
default_data,trick_sie.sie.process_sim_args,1e-06
default_data,trick_real_time.rt_sync.get_sim_start_time,0
default_data,jeod_sys.jeod_sim_interface.set_mode,1e-06
default_data,trick_sys.sched.get_freeze_job,2e-06
default_data,trick_message.mpublisher.subscribe,0
default_data,trick_message.mpublisher.subscribe,0
default_data,trick_message.mpublisher.subscribe,0
default_data,trick_message.mpublisher.subscribe,0
default_data,trick_message.mpublisher.subscribe,0
default_data,trick_message.mdevice.default_data,0.000121
default_data,trick_em.create_thread_process_event,1e-06
default_data,trick_vs.vs.default_data,7.4e-05
default_data,trick_frame_log.frame_log.default_data,0.000724
default_data,jeod_time.time_converter_tai_utc_default_data.initialize,4.7e-05
default_data,jeod_time.time_converter_tai_ut1_default_data.initialize,0.003369
default_data,earth.planet_default_data.initialize,1e-06
default_data,earth.gravity_default_data.initialize,0.028168
default_data,earth.rnp_default_data.initialize,1e-06
default_data,earth.nut_init_default_data.initialize,0.000259
default_data,earth.pm_init_default_data.initialize,0.005531
default_data,earth.wind_velocity_default_data.initialize,9.4e-05
default_data,earth.atmos_default_data.initialize,0
default_data,sim_integ_loop.integ_sched.rebuild_jobs,0.000361
default_data,trick_udunits.udunits.read_default_xml,0.007543
input_processor,trick_jit.jit.process_sim_args,4e-06
input_processor,trick_jit.jit.init,1e-06
input_processor,trick_ip.ip.process_sim_args,3e-06
input_processor,trick_ip.ip.init,2.54531
init,jeod_sys.jeod_sim_interface.configure,2e-06
